number,icon_id,display_name,notes（良し悪し等のメモ欄）,必要対応の概要
132,icon132,段差プレート,描き直し　段差があるため,イラスト描き直し
137,icon137,グレーチング,描き直し　複数枚に,イラスト描き直し
140,icon140,防火水槽ふた,描き直し　防火水槽マンホールとわかる様に,イラスト描き直し
157,icon157,銀杏,描き直し　銀杏じゃない,イラスト描き直し
162,icon162,雪の足跡,描き直し　タッチ合わせる,イラスト描き直し
165,icon165,こいのぼり,なし　重複,重複の整理
169,icon169,赤いボール,描き直し　白ドット無くす,イラスト描き直し
189,icon189,段差プレート,なし　重複,重複の整理
212,icon212,銅像,描き直し,イラスト描き直し
226,icon226,エアコン室外機,なし　重複,重複の整理
275,icon275,丸い排水穴,描き直し壁の排水穴に　アイコン名を水抜き穴に,イラスト描き直し
280,icon280,集水ますのふた,描き直し集水ますの見た目違う　アイコン名を集水ますに,イラスト描き直し
426,icon426,コンビニ外観,描き直し比率おかしい　アイコン名コンビニ,イラスト描き直し